"Data","Dzień tygodnia","Wspomnienie","Sigla"
"2023-02-10","Piątek","
Św. Scholastyki, Dziewicy
","Rdz 3,1-8, Ps 32,1-2.5-7, Mk 7,31-37"
"2023-02-11","Sobota","
Najśw. Maryi Panny Z Lourdes
","Rdz 3,9-24, Ps 90,2.4-6.12-13, Mk 8,1-10"
"2023-02-12","Niedziela","VI NIEDZIELA ZWYKŁA

","Syr 15,15-20, Ps 119, 1 Kor 2,6-10, Mt 5,17-37"
"2023-02-13","Poniedziałek","

","Rdz 4,1-15.25, Ps 50,1.8.16-17.20-21, Mk 8,11-13"
"2023-02-14","Wtorek","Św. Cyryla i Metodego Patronów Europy
Świętych Cyryla, Mnicha, I Metodego, Biskupa, Patronów Europy
","Dz 13,46-49, Ps 117,1-2, Łk 10,1-9"
"2023-02-15","Środa","

","Rdz 8,6-13.20-22, Ps 116B, Mk 8,22-26"
"2023-02-16","Czwartek","

","Rdz 9,1-13, Ps 102,16-23.29, Mk 8,27-33"
"2023-02-17","Piątek","
Świętych Siedmiu Założycieli Zakonu Serwitów Najśw. Maryi Panny
","Rdz 11,1-9, Ps 33,10-15, Mk 8,34-9,1"
"2023-02-18","Sobota","

","Hbr 11,1-7, Ps 50,1.8.16-17.20-21, Mk 9,2-13"
"2023-02-19","Niedziela","VII NIEDZIELA ZWYKŁA

","Kpł 19,1-2.17-18, Ps 103, 1 Kor 3,16-23, Mt 5,38-48"
"2023-02-20","Poniedziałek","

","Syr 1,1-10, Ps 93,1-2.5, Mk 9,14-29"
"2023-02-21","Wtorek","
Św. Piotra Damiana, Biskupa I Doktora Kościoła
","Syr 2,1-11, Ps 37,3-4.27-29.39-40, Mk 9,30-37"
"2023-02-22","Środa","Święto Katedry św. Piotra, Apostoła
Katedry Świętego Piotra, Apostoła
","1 P 5,1-4, Ps 23,1-6, Mt 16,13-19"
"2023-02-23","Czwartek","
Św. Polikarpa, Biskupa I Męczennika
","Pwt 30,15-20, Ps 1,1-4.6, Łk 9,22-25"
"2023-02-24","Piątek","
W Diecezji Toruńskiej: Św. Polikarpa, Biskupa I Męczennika
","Iz 58,1-9, Ps 51,3-6.18-19, Mt 9,14-15"
"2023-02-25","Sobota","

","Iz 58,9b-14, Ps 86,1-6, Łk 5,27-32"
"2023-02-26","Niedziela","I NIEDZIELA WIELKIEGO POSTU

","Rdz 2,7-9;3,1-7, Ps 51,3-6.12-14.17, Rz 5,12.17-19, Mt 4,1-11"
"2023-02-27","Poniedziałek","

","Kpł 19,1-2.11-18, Ps 19,8-10.15, Mt 25,31-46"
"2023-02-28","Wtorek","

","Iz 55,10-11, Ps 34,4-7.16-19, Mt 6,7-15"
"2023-03-01","Środa","

","Jon 3,1-10, Ps 51,3-4.12-13.18-19, Łk 11,29-32"
